reg_no,prn,semester,seat_no,exam_month,exam_year,course_code_1,course_name_1,assessment_method_1,min_marks_UA_1,max_marks_UA_1,marks_obtained_UA_1,exempted_UA_1,min_marks_CA_1,max_marks_CA_1,marks_obtained_CA_1,exempted_CA_1,max_total_1,obtained_total_1,credit_1,grade_1,grade_point_1,credit_grade_point_1,remark_1,course_code_2,course_name_2,assessment_method_2,min_marks_UA_2,max_marks_UA_2,marks_obtained_UA_2,exempted_UA_2,min_marks_CA_2,max_marks_CA_2,marks_obtained_CA_2,exempted_CA_2,max_total_2,obtained_total_2,credit_2,grade_2,grade_point_2,credit_grade_point_2,remark_2,course_code_3,course_name_3,assessment_method_3,min_marks_UA_3,max_marks_UA_3,marks_obtained_UA_3,exempted_UA_3,min_marks_CA_3,max_marks_CA_3,marks_obtained_CA_3,exempted_CA_3,max_total_3,obtained_total_3,credit_3,grade_3,grade_point_3,credit_grade_point_3,remark_3,course_code_4,course_name_4,assessment_method_4,min_marks_UA_4,max_marks_UA_4,marks_obtained_UA_4,exempted_UA_4,min_marks_CA_4,max_marks_CA_4,marks_obtained_CA_4,exempted_CA_4,max_total_4,obtained_total_4,credit_4,grade_4,grade_point_4,credit_grade_point_4,remark_4,course_code_5,course_name_5,assessment_method_5,min_marks_UA_5,max_marks_UA_5,marks_obtained_UA_5,exempted_UA_5,min_marks_CA_5,max_marks_CA_5,marks_obtained_CA_5,exempted_CA_5,max_total_5,obtained_total_5,credit_5,grade_5,grade_point_5,credit_grade_point_5,remark_5,course_code_6,course_name_6,assessment_method_6,min_marks_UA_6,max_marks_UA_6,marks_obtained_UA_6,exempted_UA_6,min_marks_CA_6,max_marks_CA_6,marks_obtained_CA_6,exempted_CA_6,max_total_6,obtained_total_6,credit_6,grade_6,grade_point_6,credit_grade_point_6,remark_6,course_code_7,course_name_7,assessment_method_7,min_marks_UA_7,max_marks_UA_7,marks_obtained_UA_7,exempted_UA_7,min_marks_CA_7,max_marks_CA_7,marks_obtained_CA_7,exempted_CA_7,max_total_7,obtained_total_7,credit_7,grade_7,grade_point_7,credit_grade_point_7,remark_7,course_code_8,course_name_8,assessment_method_8,min_marks_UA_8,max_marks_UA_8,marks_obtained_UA_8,exempted_UA_8,min_marks_CA_8,max_marks_CA_8,marks_obtained_CA_8,exempted_CA_8,max_total_8,obtained_total_8,credit_8,grade_8,grade_point_8,credit_grade_point_8,remark_8,course_code_9,course_name_9,assessment_method_9,min_marks_UA_9,max_marks_UA_9,marks_obtained_UA_9,exempted_UA_9,min_marks_CA_9,max_marks_CA_9,marks_obtained_CA_9,exempted_CA_9,max_total_9,obtained_total_9,credit_9,grade_9,grade_point_9,credit_grade_point_9,remark_9,course_code_10,course_name_10,assessment_method_10,min_marks_UA_10,max_marks_UA_10,marks_obtained_UA_10,exempted_UA_10,min_marks_CA_10,max_marks_CA_10,marks_obtained_CA_10,exempted_CA_10,max_total_10,obtained_total_10,credit_10,grade_10,grade_point_10,credit_grade_point_10,remark_10,course_code_11,course_name_11,assessment_method_11,min_marks_UA_11,max_marks_UA_11,marks_obtained_UA_11,exempted_UA_11,min_marks_CA_11,max_marks_CA_11,marks_obtained_CA_11,exempted_CA_11,max_total_11,obtained_total_11,credit_11,grade_11,grade_point_11,credit_grade_point_11,remark_11,course_code_12,course_name_12,assessment_method_12,min_marks_UA_12,max_marks_UA_12,marks_obtained_UA_12,exempted_UA_12,min_marks_CA_12,max_marks_CA_12,marks_obtained_CA_12,exempted_CA_12,max_total_12,obtained_total_12,credit_12,grade_12,grade_point_12,credit_grade_point_12,remark_12,course_code_13,course_name_13,assessment_method_13,min_marks_UA_13,max_marks_UA_13,marks_obtained_UA_13,exempted_UA_13,min_marks_CA_13,max_marks_CA_13,marks_obtained_CA_13,exempted_CA_13,max_total_13,obtained_total_13,credit_13,grade_13,grade_point_13,credit_grade_point_13,remark_13,course_code_14,course_name_14,assessment_method_14,min_marks_UA_14,max_marks_UA_14,marks_obtained_UA_14,exempted_UA_14,min_marks_CA_14,max_marks_CA_14,marks_obtained_CA_14,exempted_CA_14,max_total_14,obtained_total_14,credit_14,grade_14,grade_point_14,credit_grade_point_14,remark_14,total_credit,total_credit_grade_point,sgpi,status,grand_obtained,grand_total,percentage,grade,ordinance
12345,2019016402292130,2,601019,may,2020,FEC201,ENGINEERING MATHEMATICS-I,TH,32,80,64,E,8,20,20,E,100,84,3,O,10,30,"E, C",FEC201 TW,ENGINEERING MATHEMATICS-II TERMWORK,TW,-,-,-,-,10,25,23,E,25,23,1,O,10,10,"E, C",FEC202,ENGINEERING PHYSICS-II,TH,24,60,47,E,6,15,15,E,75,62,2,O,10,20,"E, C",FEl201,ENGINEERING PHYSICS-II (TW),TW,-,-,-,-,10,25,22,E,25,22,0.5,O,10,5,"E, C",FEC203,ENGINEERING CHEMISTRY-II,TH,24,60,46,E,6,15,14,E,75,60,2,O,10,20,"E, C",FEL202,ENGINEERING CHEMISTRY-II (TW),TW,-,-,-,-,10,25,19,E,25,19,0.5,A,9,4.5,"E, C",FEC204,ENGINEERING GRAPHICS,TH,24,60,34,E,6,15,6,E,75,40,2,D,6,12,"E, C",FEL203,ENGINEERING GRAPHICS,PR,-,-,-,-,20,50,30,E,50,30,2,C,7,14,"E, C",FEC205,C PROGRAMMING,TH,24,60,47,E,6,15,15,E,75,62,2,O,10,20,E. C,FEL204,C PROGRAMMING,OR,-,-,-,-,10,25,23,E,25,23,1,O,10,10,"E,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,145.5,9.09,Successful,425,550,77.27,-,-
12345,2019016402292130,2,601019,may,2020,FEC201,ENGINEERING MATHEMATICS-I,TH,32,80,64,E,8,20,20,E,100,84,3,O,10,30,"E, C",FEC201 TW,ENGINEERING MATHEMATICS-II TERMWORK,TW,-,-,-,-,10,25,23,E,25,23,1,O,10,10,"E, C",FEC202,ENGINEERING PHYSICS-II,TH,24,60,47,E,6,15,15,E,75,62,2,O,10,20,"E, C",FEl201,ENGINEERING PHYSICS-II (TW),TW,-,-,-,-,10,25,22,E,25,22,0.5,O,10,5,"E, C",FEC203,ENGINEERING CHEMISTRY-II,TH,24,60,46,E,6,15,14,E,75,60,2,O,10,20,"E, C",FEL202,ENGINEERING CHEMISTRY-II (TW),TW,-,-,-,-,10,25,19,E,25,19,0.5,A,9,4.5,"E, C",FEC204,ENGINEERING GRAPHICS,TH,24,60,34,E,6,15,6,E,75,40,2,D,6,12,"E, C",FEL203,ENGINEERING GRAPHICS,PR,-,-,-,-,20,50,30,E,50,30,2,C,7,14,"E, C",FEC205,C PROGRAMMING,TH,24,60,47,E,6,15,15,E,75,62,2,O,10,20,E. C,FEL204,C PROGRAMMING,OR,-,-,-,-,10,25,23,E,25,23,1,O,10,10,"E,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,145.5,9.09,Successful,425,550,77.27,-,-
